title,genres,keywords,plot
Sholay [1],Sports|Romance,friendship justice ambition,"Set between Mumbai and Delhi, this Sports-Romance film explores friendship, justice, and the cost of ambition."
Dilwale Dulhania Le Jayenge [2],Action|Romance,investigation revenge college,A Action story where investigation and revenge shape the journey of a determined protagonist in modern India.
3 Idiots [3],Drama|Romance,dream ambition delhi,"A gripping Drama narrative driven by dream, ambition, and an unforgettable finale."
Lagaan [4],Drama|Adventure,dream investigation college,"Set between Mumbai and Delhi, this Drama-Adventure film explores dream, investigation, and the cost of college."
Dangal [5],Musical|Biography,justice friendship city,"When a family faces crisis, a hero chooses justice over fear in this heartfelt Musical entertainer."
PK [6],Family|Comedy,village dream dance,A Family story where village and dream shape the journey of a determined protagonist in modern India.
Bajrangi Bhaijaan [7],Romance|Crime,family sacrifice heist,"A gripping Romance narrative driven by family, sacrifice, and an unforgettable finale."
Zindagi Na Milegi Dobara [8],Comedy|Drama,wedding investigation family,"When a family faces crisis, a hero chooses wedding over fear in this heartfelt Comedy entertainer."
Kabhi Khushi Kabhie Gham [9],Romance|Adventure,music sacrifice dream,A Romance story where music and sacrifice shape the journey of a determined protagonist in modern India.
Kal Ho Naa Ho [10],Drama|Sports,ambition music revenge,"Set between Mumbai and Delhi, this Drama-Sports film explores ambition, music, and the cost of revenge."
Kuch Kuch Hota Hai [11],Romance|Crime,justice wedding sacrifice,"Set between Mumbai and Delhi, this Romance-Crime film explores justice, wedding, and the cost of sacrifice."
Swades [12],Family|Mystery,dream justice revenge,"A gripping Family narrative driven by dream, justice, and an unforgettable finale."
Taare Zameen Par [13],Sports|Action,investigation ambition city,"When a family faces crisis, a hero chooses investigation over fear in this heartfelt Sports entertainer."
Andhadhun [14],Crime|Comedy,investigation ambition dance,A Crime story where investigation and ambition shape the journey of a determined protagonist in modern India.
Barfi! [15],Thriller|Drama,dance patriotism justice,A Thriller story where dance and patriotism shape the journey of a determined protagonist in modern India.
Queen [16],Thriller|Biography,dance dream mumbai,"When a family faces crisis, a hero chooses dance over fear in this heartfelt Thriller entertainer."
Kahaani [17],Sports|Musical,village justice redemption,"Set between Mumbai and Delhi, this Sports-Musical film explores village, justice, and the cost of redemption."
Gully Boy [18],Mystery|Adventure,investigation justice college,"A gripping Mystery narrative driven by investigation, justice, and an unforgettable finale."
Rockstar [19],Crime|Family,ambition village delhi,"When a family faces crisis, a hero chooses ambition over fear in this heartfelt Crime entertainer."
Tamasha [20],Romance|Drama,family village city,"When a family faces crisis, a hero chooses family over fear in this heartfelt Romance entertainer."
Jab We Met [21],Biography|Romance,patriotism redemption wedding,"A gripping Biography narrative driven by patriotism, redemption, and an unforgettable finale."
Chak De! India [22],Comedy|Adventure,friendship family investigation,"A popular Bollywood tale of friendship, family, and investigation, blending emotion, music, and dramatic twists."
Bhaag Milkha Bhaag [23],Sports|Family,family music college,"Set between Mumbai and Delhi, this Sports-Family film explores family, music, and the cost of college."
Rang De Basanti [24],Musical|Drama,justice delhi city,"A gripping Musical narrative driven by justice, delhi, and an unforgettable finale."
Munna Bhai M.B.B.S. [25],Romance|Sports,music delhi dream,"Set between Mumbai and Delhi, this Romance-Sports film explores music, delhi, and the cost of dream."
Lage Raho Munna Bhai [26],Family|Action,investigation delhi friendship,"A gripping Family narrative driven by investigation, delhi, and an unforgettable finale."
Om Shanti Om [27],Family|Musical,friendship family sacrifice,"A popular Bollywood tale of friendship, family, and sacrifice, blending emotion, music, and dramatic twists."
Don [28],Thriller|Drama,ambition heist revenge,A Thriller story where ambition and heist shape the journey of a determined protagonist in modern India.
Don 2 [29],Mystery|Musical,revenge investigation village,"Set between Mumbai and Delhi, this Mystery-Musical film explores revenge, investigation, and the cost of village."
War [30],Sports|Musical,investigation city justice,"A gripping Sports narrative driven by investigation, city, and an unforgettable finale."
Pathaan [31],Biography|Crime,dream investigation redemption,"A popular Bollywood tale of dream, investigation, and redemption, blending emotion, music, and dramatic twists."
Jawan [32],Crime|Sports,sacrifice wedding delhi,"When a family faces crisis, a hero chooses sacrifice over fear in this heartfelt Crime entertainer."
Tiger Zinda Hai [33],Romance|Thriller,ambition revenge dance,A Romance story where ambition and revenge shape the journey of a determined protagonist in modern India.
Ek Tha Tiger [34],Biography|Adventure,ambition heist redemption,A Biography story where ambition and heist shape the journey of a determined protagonist in modern India.
Sultan [35],Romance|Sports,love ambition revenge,A Romance story where love and ambition shape the journey of a determined protagonist in modern India.
Raees [36],Family|Romance,delhi ambition justice,"When a family faces crisis, a hero chooses delhi over fear in this heartfelt Family entertainer."
My Name Is Khan [37],Thriller|Adventure,village heist mumbai,"Set between Mumbai and Delhi, this Thriller-Adventure film explores village, heist, and the cost of mumbai."
Chennai Express [38],Musical|Crime,dream family heist,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Musical entertainer."
Dil Se.. [39],Family|Crime,college wedding love,A Family story where college and wedding shape the journey of a determined protagonist in modern India.
Devdas [40],Drama|Crime,dance family ambition,"Set between Mumbai and Delhi, this Drama-Crime film explores dance, family, and the cost of ambition."
Hum Aapke Hain Koun..! [41],Thriller|Adventure,wedding village college,"Set between Mumbai and Delhi, this Thriller-Adventure film explores wedding, village, and the cost of college."
Maine Pyar Kiya [42],Comedy|Musical,ambition revenge wedding,"A gripping Comedy narrative driven by ambition, revenge, and an unforgettable finale."
Hum Dil De Chuke Sanam [43],Romance|Drama,investigation friendship revenge,"Set between Mumbai and Delhi, this Romance-Drama film explores investigation, friendship, and the cost of revenge."
Goliyon Ki Raasleela Ram-Leela [44],Action|Crime,mumbai redemption dream,"When a family faces crisis, a hero chooses mumbai over fear in this heartfelt Action entertainer."
Padmaavat [45],Drama|Action,patriotism friendship redemption,"A popular Bollywood tale of patriotism, friendship, and redemption, blending emotion, music, and dramatic twists."
Bajirao Mastani [46],Musical|Comedy,college investigation mumbai,"Set between Mumbai and Delhi, this Musical-Comedy film explores college, investigation, and the cost of mumbai."
Gangubai Kathiawadi [47],Thriller|Comedy,dream love investigation,A Thriller story where dream and love shape the journey of a determined protagonist in modern India.
Black [48],Mystery|Family,love redemption mumbai,"A gripping Mystery narrative driven by love, redemption, and an unforgettable finale."
Guzaarish [49],Adventure|Action,love delhi revenge,"Set between Mumbai and Delhi, this Adventure-Action film explores love, delhi, and the cost of revenge."
Piku [50],Romance|Biography,revenge ambition patriotism,A Romance story where revenge and ambition shape the journey of a determined protagonist in modern India.
Sholay [51],Biography|Thriller,heist love revenge,"When a family faces crisis, a hero chooses heist over fear in this heartfelt Biography entertainer."
Dilwale Dulhania Le Jayenge [52],Sports|Biography,heist delhi dance,"A popular Bollywood tale of heist, delhi, and dance, blending emotion, music, and dramatic twists."
3 Idiots [53],Thriller|Sports,dance ambition justice,"When a family faces crisis, a hero chooses dance over fear in this heartfelt Thriller entertainer."
Lagaan [54],Action|Sports,music wedding dance,A Action story where music and wedding shape the journey of a determined protagonist in modern India.
Dangal [55],Drama|Musical,redemption heist family,A Drama story where redemption and heist shape the journey of a determined protagonist in modern India.
PK [56],Adventure|Thriller,delhi justice village,"A popular Bollywood tale of delhi, justice, and village, blending emotion, music, and dramatic twists."
Bajrangi Bhaijaan [57],Romance|Thriller,sacrifice music city,"When a family faces crisis, a hero chooses sacrifice over fear in this heartfelt Romance entertainer."
Zindagi Na Milegi Dobara [58],Adventure|Comedy,redemption delhi friendship,"A gripping Adventure narrative driven by redemption, delhi, and an unforgettable finale."
Kabhi Khushi Kabhie Gham [59],Comedy|Sports,family village justice,A Comedy story where family and village shape the journey of a determined protagonist in modern India.
Kal Ho Naa Ho [60],Romance|Adventure,village justice music,"A gripping Romance narrative driven by village, justice, and an unforgettable finale."
Kuch Kuch Hota Hai [61],Thriller|Family,dream justice delhi,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Thriller entertainer."
Swades [62],Comedy|Drama,revenge college justice,A Comedy story where revenge and college shape the journey of a determined protagonist in modern India.
Taare Zameen Par [63],Drama|Family,village justice city,"When a family faces crisis, a hero chooses village over fear in this heartfelt Drama entertainer."
Andhadhun [64],Adventure|Crime,investigation friendship family,A Adventure story where investigation and friendship shape the journey of a determined protagonist in modern India.
Barfi! [65],Mystery|Action,investigation love sacrifice,"A gripping Mystery narrative driven by investigation, love, and an unforgettable finale."
Queen [66],Adventure|Action,college village love,"A popular Bollywood tale of college, village, and love, blending emotion, music, and dramatic twists."
Kahaani [67],Family|Drama,sacrifice dream ambition,A Family story where sacrifice and dream shape the journey of a determined protagonist in modern India.
Gully Boy [68],Family|Adventure,college village ambition,"Set between Mumbai and Delhi, this Family-Adventure film explores college, village, and the cost of ambition."
Rockstar [69],Action|Crime,friendship city dance,"When a family faces crisis, a hero chooses friendship over fear in this heartfelt Action entertainer."
Tamasha [70],Sports|Thriller,justice city family,"When a family faces crisis, a hero chooses justice over fear in this heartfelt Sports entertainer."
Jab We Met [71],Drama|Musical,ambition dream wedding,"A popular Bollywood tale of ambition, dream, and wedding, blending emotion, music, and dramatic twists."
Chak De! India [72],Comedy|Thriller,ambition friendship dream,"When a family faces crisis, a hero chooses ambition over fear in this heartfelt Comedy entertainer."
Bhaag Milkha Bhaag [73],Family|Comedy,revenge justice sacrifice,"A gripping Family narrative driven by revenge, justice, and an unforgettable finale."
Rang De Basanti [74],Crime|Sports,investigation dance friendship,A Crime story where investigation and dance shape the journey of a determined protagonist in modern India.
Munna Bhai M.B.B.S. [75],Comedy|Action,heist justice love,A Comedy story where heist and justice shape the journey of a determined protagonist in modern India.
Lage Raho Munna Bhai [76],Biography|Crime,sacrifice dance college,"A gripping Biography narrative driven by sacrifice, dance, and an unforgettable finale."
Om Shanti Om [77],Adventure|Romance,patriotism heist dream,"A popular Bollywood tale of patriotism, heist, and dream, blending emotion, music, and dramatic twists."
Don [78],Drama|Crime,friendship delhi investigation,"Set between Mumbai and Delhi, this Drama-Crime film explores friendship, delhi, and the cost of investigation."
Don 2 [79],Family|Crime,revenge dance heist,A Family story where revenge and dance shape the journey of a determined protagonist in modern India.
War [80],Mystery|Comedy,delhi music college,"A popular Bollywood tale of delhi, music, and college, blending emotion, music, and dramatic twists."
Pathaan [81],Crime|Comedy,investigation village dream,"When a family faces crisis, a hero chooses investigation over fear in this heartfelt Crime entertainer."
Jawan [82],Sports|Crime,city heist music,"When a family faces crisis, a hero chooses city over fear in this heartfelt Sports entertainer."
Tiger Zinda Hai [83],Adventure|Drama,music redemption dream,"When a family faces crisis, a hero chooses music over fear in this heartfelt Adventure entertainer."
Ek Tha Tiger [84],Biography|Mystery,dance wedding heist,"When a family faces crisis, a hero chooses dance over fear in this heartfelt Biography entertainer."
Sultan [85],Sports|Thriller,delhi mumbai city,A Sports story where delhi and mumbai shape the journey of a determined protagonist in modern India.
Raees [86],Comedy|Adventure,redemption dance revenge,"Set between Mumbai and Delhi, this Comedy-Adventure film explores redemption, dance, and the cost of revenge."
My Name Is Khan [87],Sports|Comedy,ambition dream village,A Sports story where ambition and dream shape the journey of a determined protagonist in modern India.
Chennai Express [88],Drama|Thriller,mumbai revenge wedding,"When a family faces crisis, a hero chooses mumbai over fear in this heartfelt Drama entertainer."
Dil Se.. [89],Sports|Biography,dream patriotism mumbai,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Sports entertainer."
Devdas [90],Thriller|Action,friendship family college,"Set between Mumbai and Delhi, this Thriller-Action film explores friendship, family, and the cost of college."
Hum Aapke Hain Koun..! [91],Action|Adventure,wedding love investigation,"Set between Mumbai and Delhi, this Action-Adventure film explores wedding, love, and the cost of investigation."
Maine Pyar Kiya [92],Romance|Musical,village wedding delhi,"A gripping Romance narrative driven by village, wedding, and an unforgettable finale."
Hum Dil De Chuke Sanam [93],Biography|Family,wedding delhi college,"A gripping Biography narrative driven by wedding, delhi, and an unforgettable finale."
Goliyon Ki Raasleela Ram-Leela [94],Musical|Action,mumbai wedding justice,"Set between Mumbai and Delhi, this Musical-Action film explores mumbai, wedding, and the cost of justice."
Padmaavat [95],Sports|Comedy,delhi mumbai ambition,"A popular Bollywood tale of delhi, mumbai, and ambition, blending emotion, music, and dramatic twists."
Bajirao Mastani [96],Musical|Romance,music ambition justice,"A popular Bollywood tale of music, ambition, and justice, blending emotion, music, and dramatic twists."
Gangubai Kathiawadi [97],Family|Adventure,revenge village heist,"Set between Mumbai and Delhi, this Family-Adventure film explores revenge, village, and the cost of heist."
Black [98],Crime|Action,dream revenge college,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Crime entertainer."
Guzaarish [99],Family|Adventure,wedding college love,"Set between Mumbai and Delhi, this Family-Adventure film explores wedding, college, and the cost of love."
Piku [100],Crime|Mystery,heist friendship patriotism,"When a family faces crisis, a hero chooses heist over fear in this heartfelt Crime entertainer."
Sholay [101],Drama|Family,music patriotism college,"A gripping Drama narrative driven by music, patriotism, and an unforgettable finale."
Dilwale Dulhania Le Jayenge [102],Mystery|Adventure,redemption ambition mumbai,"Set between Mumbai and Delhi, this Mystery-Adventure film explores redemption, ambition, and the cost of mumbai."
3 Idiots [103],Comedy|Crime,mumbai friendship patriotism,"A popular Bollywood tale of mumbai, friendship, and patriotism, blending emotion, music, and dramatic twists."
Lagaan [104],Sports|Mystery,patriotism city wedding,"Set between Mumbai and Delhi, this Sports-Mystery film explores patriotism, city, and the cost of wedding."
Dangal [105],Biography|Adventure,friendship patriotism redemption,A Biography story where friendship and patriotism shape the journey of a determined protagonist in modern India.
PK [106],Sports|Crime,village wedding city,A Sports story where village and wedding shape the journey of a determined protagonist in modern India.
Bajrangi Bhaijaan [107],Comedy|Crime,dance dream wedding,"A popular Bollywood tale of dance, dream, and wedding, blending emotion, music, and dramatic twists."
Zindagi Na Milegi Dobara [108],Family|Crime,justice college redemption,A Family story where justice and college shape the journey of a determined protagonist in modern India.
Kabhi Khushi Kabhie Gham [109],Musical|Drama,investigation love sacrifice,"Set between Mumbai and Delhi, this Musical-Drama film explores investigation, love, and the cost of sacrifice."
Kal Ho Naa Ho [110],Sports|Romance,love friendship ambition,"Set between Mumbai and Delhi, this Sports-Romance film explores love, friendship, and the cost of ambition."
Kuch Kuch Hota Hai [111],Drama|Biography,village ambition redemption,"When a family faces crisis, a hero chooses village over fear in this heartfelt Drama entertainer."
Swades [112],Sports|Romance,heist dream wedding,"A popular Bollywood tale of heist, dream, and wedding, blending emotion, music, and dramatic twists."
Taare Zameen Par [113],Family|Action,redemption family city,"A popular Bollywood tale of redemption, family, and city, blending emotion, music, and dramatic twists."
Andhadhun [114],Romance|Biography,friendship music patriotism,"When a family faces crisis, a hero chooses friendship over fear in this heartfelt Romance entertainer."
Barfi! [115],Mystery|Thriller,revenge heist ambition,A Mystery story where revenge and heist shape the journey of a determined protagonist in modern India.
Queen [116],Mystery|Comedy,redemption family love,"A popular Bollywood tale of redemption, family, and love, blending emotion, music, and dramatic twists."
Kahaani [117],Adventure|Crime,sacrifice revenge delhi,"A popular Bollywood tale of sacrifice, revenge, and delhi, blending emotion, music, and dramatic twists."
Gully Boy [118],Drama|Crime,mumbai family college,"A popular Bollywood tale of mumbai, family, and college, blending emotion, music, and dramatic twists."
Rockstar [119],Sports|Musical,village college city,"A gripping Sports narrative driven by village, college, and an unforgettable finale."
Tamasha [120],Sports|Comedy,redemption investigation mumbai,"When a family faces crisis, a hero chooses redemption over fear in this heartfelt Sports entertainer."
Jab We Met [121],Crime|Biography,justice dance ambition,A Crime story where justice and dance shape the journey of a determined protagonist in modern India.
Chak De! India [122],Comedy|Musical,ambition wedding patriotism,"A popular Bollywood tale of ambition, wedding, and patriotism, blending emotion, music, and dramatic twists."
Bhaag Milkha Bhaag [123],Drama|Musical,dance city mumbai,"Set between Mumbai and Delhi, this Drama-Musical film explores dance, city, and the cost of mumbai."
Rang De Basanti [124],Family|Comedy,dance justice heist,"A gripping Family narrative driven by dance, justice, and an unforgettable finale."
Munna Bhai M.B.B.S. [125],Drama|Adventure,dream revenge ambition,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Drama entertainer."
Lage Raho Munna Bhai [126],Musical|Adventure,ambition mumbai heist,"When a family faces crisis, a hero chooses ambition over fear in this heartfelt Musical entertainer."
Om Shanti Om [127],Drama|Romance,music ambition patriotism,"Set between Mumbai and Delhi, this Drama-Romance film explores music, ambition, and the cost of patriotism."
Don [128],Comedy|Sports,heist sacrifice mumbai,"A gripping Comedy narrative driven by heist, sacrifice, and an unforgettable finale."
Don 2 [129],Adventure|Family,college investigation dance,"A popular Bollywood tale of college, investigation, and dance, blending emotion, music, and dramatic twists."
War [130],Mystery|Musical,justice music redemption,"Set between Mumbai and Delhi, this Mystery-Musical film explores justice, music, and the cost of redemption."
Pathaan [131],Romance|Thriller,dance family investigation,"Set between Mumbai and Delhi, this Romance-Thriller film explores dance, family, and the cost of investigation."
Jawan [132],Thriller|Mystery,mumbai justice delhi,"A gripping Thriller narrative driven by mumbai, justice, and an unforgettable finale."
Tiger Zinda Hai [133],Comedy|Romance,dream music ambition,"A popular Bollywood tale of dream, music, and ambition, blending emotion, music, and dramatic twists."
Ek Tha Tiger [134],Action|Comedy,friendship investigation village,"A popular Bollywood tale of friendship, investigation, and village, blending emotion, music, and dramatic twists."
Sultan [135],Drama|Mystery,investigation music village,"When a family faces crisis, a hero chooses investigation over fear in this heartfelt Drama entertainer."
Raees [136],Romance|Drama,heist music mumbai,"When a family faces crisis, a hero chooses heist over fear in this heartfelt Romance entertainer."
My Name Is Khan [137],Musical|Family,city love justice,"When a family faces crisis, a hero chooses city over fear in this heartfelt Musical entertainer."
Chennai Express [138],Romance|Mystery,patriotism mumbai revenge,"A gripping Romance narrative driven by patriotism, mumbai, and an unforgettable finale."
Dil Se.. [139],Sports|Mystery,love village heist,"A gripping Sports narrative driven by love, village, and an unforgettable finale."
Devdas [140],Comedy|Romance,ambition family investigation,"When a family faces crisis, a hero chooses ambition over fear in this heartfelt Comedy entertainer."
Hum Aapke Hain Koun..! [141],Biography|Mystery,redemption ambition delhi,"When a family faces crisis, a hero chooses redemption over fear in this heartfelt Biography entertainer."
Maine Pyar Kiya [142],Musical|Mystery,music heist college,"A popular Bollywood tale of music, heist, and college, blending emotion, music, and dramatic twists."
Hum Dil De Chuke Sanam [143],Biography|Mystery,love family dream,"Set between Mumbai and Delhi, this Biography-Mystery film explores love, family, and the cost of dream."
Goliyon Ki Raasleela Ram-Leela [144],Comedy|Sports,revenge city ambition,"Set between Mumbai and Delhi, this Comedy-Sports film explores revenge, city, and the cost of ambition."
Padmaavat [145],Adventure|Romance,city friendship college,"When a family faces crisis, a hero chooses city over fear in this heartfelt Adventure entertainer."
Bajirao Mastani [146],Mystery|Biography,mumbai music love,"Set between Mumbai and Delhi, this Mystery-Biography film explores mumbai, music, and the cost of love."
Gangubai Kathiawadi [147],Comedy|Mystery,wedding revenge ambition,"A popular Bollywood tale of wedding, revenge, and ambition, blending emotion, music, and dramatic twists."
Black [148],Sports|Biography,dream college family,"A gripping Sports narrative driven by dream, college, and an unforgettable finale."
Guzaarish [149],Thriller|Sports,village justice redemption,A Thriller story where village and justice shape the journey of a determined protagonist in modern India.
Piku [150],Drama|Action,music heist redemption,"When a family faces crisis, a hero chooses music over fear in this heartfelt Drama entertainer."
Sholay [151],Romance|Musical,music patriotism justice,"A gripping Romance narrative driven by music, patriotism, and an unforgettable finale."
Dilwale Dulhania Le Jayenge [152],Adventure|Musical,wedding revenge love,"When a family faces crisis, a hero chooses wedding over fear in this heartfelt Adventure entertainer."
3 Idiots [153],Mystery|Family,redemption justice friendship,A Mystery story where redemption and justice shape the journey of a determined protagonist in modern India.
Lagaan [154],Thriller|Sports,heist redemption friendship,"A popular Bollywood tale of heist, redemption, and friendship, blending emotion, music, and dramatic twists."
Dangal [155],Biography|Drama,city mumbai delhi,"When a family faces crisis, a hero chooses city over fear in this heartfelt Biography entertainer."
PK [156],Comedy|Action,heist college mumbai,A Comedy story where heist and college shape the journey of a determined protagonist in modern India.
Bajrangi Bhaijaan [157],Musical|Family,college dance heist,A Musical story where college and dance shape the journey of a determined protagonist in modern India.
Zindagi Na Milegi Dobara [158],Action|Family,college mumbai music,"When a family faces crisis, a hero chooses college over fear in this heartfelt Action entertainer."
Kabhi Khushi Kabhie Gham [159],Adventure|Drama,wedding revenge dance,"A popular Bollywood tale of wedding, revenge, and dance, blending emotion, music, and dramatic twists."
Kal Ho Naa Ho [160],Family|Romance,patriotism delhi friendship,"A gripping Family narrative driven by patriotism, delhi, and an unforgettable finale."
Kuch Kuch Hota Hai [161],Musical|Crime,love dream delhi,"A popular Bollywood tale of love, dream, and delhi, blending emotion, music, and dramatic twists."
Swades [162],Biography|Musical,wedding love dream,"A popular Bollywood tale of wedding, love, and dream, blending emotion, music, and dramatic twists."
Taare Zameen Par [163],Adventure|Action,music wedding mumbai,A Adventure story where music and wedding shape the journey of a determined protagonist in modern India.
Andhadhun [164],Drama|Sports,redemption ambition city,"A popular Bollywood tale of redemption, ambition, and city, blending emotion, music, and dramatic twists."
Barfi! [165],Adventure|Drama,investigation college revenge,"Set between Mumbai and Delhi, this Adventure-Drama film explores investigation, college, and the cost of revenge."
Queen [166],Romance|Musical,family village mumbai,"A popular Bollywood tale of family, village, and mumbai, blending emotion, music, and dramatic twists."
